id;nama;kategori;tahun_rilis;harga;stok
GAME001;BNMO - Play Along With Crypto;Adventure;2022;100000;1
GAME002;Dasar Pemrograman;Coding;2022;0;9
GAME003;Minecraft;Sandbox;2011;500000;17
GAME004;Grand Theft Auto V;Action;2013;300000;19
GAME005;DOTA2;MOBA;2013;0;49
GAME006;Genshin Impact;RPG;2020;0;50
GAME007;Phasmophobia;Horror;2020;98000;20
GAME008;Valorant;FPS;2020;0;19
GAME009;Counter Strike : Global Offensive;FPS;2012;0;20
GAME010;The Witcher;RPG;2007;150000;5
GAME011;Tetris;Strategy;1984;0;100
GAME012;Apex Legends;FPS;2019;300000;9
GAME013;Forza Horizon 5;Action;2021;499999;10
GAME014;Naruto;Drama;2008;123;9
GAME015;Pokemon;RPG;1996;100000;10
GAME016;Candy Crush;Puzzle;2012;0;22
GAME017;Mobile Legends;MOBA;2019;0;10
GAME018;PUBG;FPS;2017;50000;10
